ID,Labels,F0,F1,F2,F3,F4,Time
CDMN2E2SF005_LEC,CNBa_T,241.00048,916.09118,1821.44724,2890.38493,3917.9626,0.12178
CDMN2E2SF005_LEC,CFPa_T,226.80164,802.5099,1894.17513,2980.28718,3748.13394,0.12542
CDMN2E2SF005_LEC,COVaCNA_T,209.21408,732.35964,1810.144,2692.08332,4115.59652,0.07638
CDMN2E2SF005_LEC,CLaCFA_A,183.26094,593.83474,1671.23532,2253.11083,3488.87872,0.10195
CDMN2E2SF005_LEC,CODCVaCFA_T,183.47312,642.15181,1774.15583,2767.96688,4279.3239,0.11637
CDMN2E2SF005_LEC,CNAa_A,260.74616,764.68715,1801.79724,2717.23862,3851.42554,0.05941
CDMN2E2SF005_LEC,CVSa_A,202.39615,680.12391,1809.57199,2910.0341,4063.1204,0.08306
CDMN2E2SF005_LEC,COSDa_T,203.60219,631.87309,1788.67183,2846.89251,4116.3971,0.0928
CDMN2E2SF005_LEC,CLaCFA_T,231.42571,726.16275,1556.20067,2155.30109,3407.33792,0.08844
CDMN2E2SF005_LEC,COVa_T,266.2086,681.42073,1761.61807,2458.73414,4025.46298,0.07827
CDMN2E2SF005_LEC,CFAaCFA_T,295.75554,611.72953,1401.35995,2030.91417,3292.87649,0.0953
CDMN2E2SF005_LEC,CNAaCFA_T,260.78235,722.37483,1603.50423,2557.56289,3716.78457,0.09919
CDMN2E2SF005_LEC,COVa_T,211.93598,648.04513,1847.84815,2644.09342,4049.50325,0.09015
CDMN2E2SF005_LEC,CVSa_T,146.83122,715.64825,1799.96854,2593.88793,3946.885,0.08324
CDMN2E2SF005_LEC,CLaCFA_T,226.18383,662.66264,1640.58454,2094.58448,3326.56001,0.08749
CDMN2E2SF005_LEC,CNBa_T,244.94805,828.9516,1479.45619,2462.43078,3659.65773,0.07969
CDMN2E2SF005_LEC,CLaCFA_A,279.72665,696.93539,1769.12658,2907.6361,4239.41811,0.08421
CDMN2E2SF005_LEC,CLa_A,207.59399,694.62371,1834.07336,2987.46357,3665.95675,0.09885
CDMN2E2SF005_LEC,CODaCNA_T,244.30945,739.10187,1635.11627,2621.18958,3825.25297,0.16813
CDMN2E2SF005_LEC,CODaCNA_T,208.08338,703.47627,1822.87813,2868.04361,4113.11284,0.09299
CDMN2E2SF005_LEC,CLa_T,219.50645,733.83596,1853.79359,2056.4499,2956.08973,0.06692
CDMN2E2SF005_LEC,COVa_T,239.31075,786.085,1868.31512,2599.21213,3963.58111,0.0632
CDMN2E2SF005_LEC,CNAa_T,239.88038,601.88284,1845.31283,2652.26136,3940.94615,0.09364
CDMN2E2SF005_LEC,CLaCFA_T,215.76862,629.47371,1711.11667,2060.57571,3282.29205,0.08253
